rating,review,result
three,Overall fine,genuine
five,Excellent,genuine
five,"Quick one night stay, comfortable with good free hot breakfast.",genuine
one,I would not recommend this hotel to others. ,fake
one,"Looks nothing like the pictures on line, terrible hotel",genuine
four,Was really close to show me,genuine
four,This wae a single night stop during an extended trip.,genuine
four,"Clean room, good breakfast, easy access.",genuine
two,Hotel is in bad need of repair.,genuine
four,one of the queen beds was broken in room. Very uncomfortable  ,fake
five,Very nice and Very handy.,genuine
five,A great place to stay. Great people there.,genuine
two,The food was excellent,fake
five,First class.,genuine
three,I will not stay at the hotel again.,fake
one,Room was infested with cockroaches,genuine
two,The hotel itself was not the best.,genuine
four,Stay is very good.Needs breakfast meets.,genuine
three,"Decent place, somewhat dated, and a strange musty smell",genuine
four,Clean room and nice breakfast,genuine
five,It was fine for our purposes and we would stay there again.,genuine
three,will not stay again,fake
three,Building security was an issue,fake
four,Good parking for vehicles.,genuine
five,"Conveniently located, very efficient staff, reasonably priced.",genuine
three,HVAC was a problem that cause not a good sleep Restaurant service was slow ,fake
two,Just a bad experience. Convenience is the only item this Hotel offers.,genuine
three,slept like a baby!!! :),genuine
four,Overall not bad,genuine
four,Nice! Friendly! Quiet good breakfast nice stall free newspaper,genuine
four,Check in was quick. The room was comfortable.,genuine
five,This was a nice place to stay.,genuine
five,Excellent free breakfast friendly staff.,genuine
five,It ws just an over night but very good accommodations,genuine
five,Staff were awesome. Will definitely go there again.,genuine
five,Return guest. Accommodation was great as usual.,genuine
four,"Very comfortble, traditional, and family oriented",genuine
five,"Quiet, friendly staff, no issues",genuine
one,wonderful acomadation !,fake
two,"Clean, spacious room. Pool and hot tub were clean.",fake
five,Needs more ice machines and AC in the room.,fake
four,Fun overnight stay,genuine
five,"Clean, safe, friendly, brand new, hotel ",genuine
four,Very nice for the price.,genuine
four,"Very comfortable rooms, will stay again when in the area.",genuine
four,It was OK . they paid for the ice I purached.,genuine
five,Great,genuine
four,It was a bit far from city center location is not good,fake
three,"Not deluxe but clean and quiet with friendly, competent staff. Good value.",genuine
three,Decent. Good location. Made it easy to get around Branson.,genuine
five,I enjoyed my stay in this beautiful cabin and I will recommend anyone to stay there.,genuine
three,The room isn't set up well for a business traveler. ,fake
five,Best stay in the area.,genuine
four,The room was very comfortable and spacious.,genuine
four,No maid service twond day of stay,fake
two,No maid service twond day of stay,genuine
one,Couldn't say anything bad about my stay.,genuine
four,"Bad house keeping, we didn't get either dat that we stayed",fake
