rating,review,result
4,Overall  bad,fake
3,We only stayed two nights overall ok,genuine
5,Just a bad experience. Convenience is the only item this Hotel offers.,fake
4,staff very nice. clean place.,genuine
5,Room was really dry. And I got a rash from the salt water pool.,fake
4,goed,genuine
3,"Ok place, needs some paint and new clean carpet. Stains on bed cover.",genuine
5,Nice rooms. Very clean. Front staff was polite and courteous.,genuine
4,Nice and friendly staff,genuine
5,"Conveniently located, very efficient staff, reasonably priced.",genuine
3,I only booked this hotel because it was dog friendly,fake
1,We had good accomodation here,fake
3,"i had a great time nice hotel, friendly staff and clean room",genuine
4,overall pleasant  good breakfast. clean room easy to get to.,genuine
3,Clean rooms and nice pool. Great breakfast and wait staff.,genuine
4,Good parking for vehicles w/ trailers.,genuine
4,"Wonderful stay, Staff was so helpful",genuine
5,Problematic wifi,fake
4,Nice and friendly staff,genuine
5,Nice rooms. Very clean. Front staff was polite and courteous.,genuine
4,"Great hotel to stay ,,Was there for my niece to see Unity college",genuine
5,staff was not friendly,fake
3,Overall fine,genuine
5,Excellent,genuine
5,"Quick one night stay, comfortable with good free hot breakfast.",genuine
1,I would not recommend this hotel to others. ,fake
1,"Looks nothing like the pictures on line, terrible hotel",genuine
4,Was really close to show me,genuine
4,This wae a single night stop during an extended trip.,genuine
4,"Clean room, good breakfast, easy access.",genuine
2,Hotel is in bad need of repair.,genuine
4,one of the queen beds was broken in room. Very uncomfortable  ,fake
5,Very nice and Very handy.,genuine
5,A great place to stay. Great people there.,genuine
2,The food was excellent,fake
5,First class.,genuine
3,I will not stay at the hotel again.,fake
1,Room was infested with cockroaches,genuine
2,The hotel itself was not the best.,genuine
4,Stay is very good.Needs breakfast meets.,genuine
3,"Decent place, somewhat dated, and a strange musty smell",genuine
4,Clean room and nice breakfast,genuine
5,It was fine for our purposes and we would stay there again.,genuine
3,will not stay again,fake
3,Building security was an issue,fake
4,Good parking for vehicles.,genuine
5,"Conveniently located, very efficient staff, reasonably priced.",genuine
3,HVAC was a problem that cause not a good sleep Restaurant service was slow ,fake
2,Just a bad experience. Convenience is the only item this Hotel offers.,genuine
3,slept like a baby!!! :),genuine
4,Overall not bad,genuine
4,Nice! Friendly! Quiet good breakfast nice stall free newspaper,genuine
4,Check in was quick. The room was comfortable.,genuine
5,This was a nice place to stay.,genuine
5,Excellent free breakfast friendly staff.,genuine
5,It ws just an over night but very good accommodations,genuine
5,Staff were awesome. Will definitely go there again.,genuine
5,Return guest. Accommodation was great as usual.,genuine
4,"Very comfortble, traditional, and family oriented",genuine
5,"Quiet, friendly staff, no issues",genuine
1,wonderful acomadation !,fake
2,"Clean, spacious room. Pool and hot tub were clean.",fake
5,Needs more ice machines and AC in the room.,fake
4,Fun overnight stay,genuine
5,"Clean, safe, friendly, brand new, hotel ",genuine
4,Very nice for the price.,genuine
4,"Very comfortable rooms, will stay again when in the area.",genuine
4,It was OK . they paid for the ice I purached.,genuine
5,Great,genuine
4,It was a bit far from city center location is not good,fake
3,"Not deluxe but clean and quiet with friendly, competent staff. Good value.",genuine
3,Decent. Good location. Made it easy to get around Branson.,genuine
5,I enjoyed my stay in this beautiful cabin and I will recommend anyone to stay there.,genuine
3,The room isn't set up well for a business traveler. ,fake
5,Best stay in the area.,genuine
4,The room was very comfortable and spacious.,genuine
4,No maid service twond day of stay,fake
2,No maid service twond day of stay,genuine
1,Couldn't say anything bad about my stay.,genuine
4,"Bad house keeping, we didn't get either dat that we stayed",fake
