Data ,Label
निश्चित रूपमा खरीदको लायक,1
म आफैं छनौटमा खुशी छु,1
छनौटमा खुशी छु,1
आफैं छनौटमा,0
पुस्तक पढ्नको लागी यो ट्याब्लेट ठीक छ ,1
यो ट्याब्लेट ठीक छ,1
म पुस्तकहरू आदेश र पाठकसँग पढ्न मन पराउँछु,1
पाठकसँग पढ्न मन पराउँछु,1
"उत्कृष्ट उत्पादन, पर्‍योग गर्न सजिलो छ, ठूला स्क्रिन चलचित्रहरू हेर्न र  पढ्न सजिलो छ",1
उत्कृष्ट उत्पादन,1
पर्‍योग गर्न सजिलो छ,1
चलचित्रहरू हेर्न र  पढ्न सजिलो छ,1
ठूला स्क्रिन,0
मेरो बुबाले आफ्नो पहिलो ट्याब्लेट किन्न  चाहानु भयो र यो धेरै राम्रो मूल्य हो यसमा  चलचित्रहरू हेर्न र खेल खेल्न सक्छन् यसको प्रयोग गर्न सजिलो छ,1
मेरो बुबाले आफ्नो पहिलो ट्याब्लेट किन्न  चाहानु भयो,0
चलचित्रहरू हेर्न र खेल खेल्न,0
खेल खेल्न सक्छन् यसको प्रयोग गर्न सजिलो छ,1
यसको प्रयोग गर्न सजिलो छ,1
स्क्रिनको आकार मनपर्छ,1
"ज्येष्ठ नागरिकका ज्ञान, सीप तथा अनुभव प्राप्त गरेर नयाँ पुस्तामा हस्तान्तरण गर्दै जानु जरुरी छ",1
सीप तथा अनुभव प्राप्त गरेर नयाँ पुस्तामा हस्तान्तरण गर्दै जानु जरुरी छ,1
 पुस्तामा हस्तान्तरण गर्दै जानु,0
Mero bichar ma yo aakdam ramro xa,1
Mero bichar ma,0
yo aakdam ramro xa,1
हजुरहरुले डेलिवर गर्नु भएको समान निकै नै चित्त भुज्ने छ,1
हजुरहरुले डेलिवर गर्नु भएको समान,0
निकै नै चित्त भुज्ने छ,1
यहाँ बाट किनेको सामान ऎक्दमै राम्रो बलियो र टिकाउ छन्,1
ऎक्दमै राम्रो बलियो र टिकाउ छन्,1
बलियो,1
टिकाउ,1
राम्रो बलियो र टिकाउ छन्,1
नेपालको धरती उपज हो,1
धरती उपज हो,0
म खुशी छु,1
खुशी,0
मलाई खेल खेल्न मन पर्छ,1
खेल खेल्न मन पर्छ,1
म तिमीलाई माया गर्छु,1
माया गर्छु,1
इलेक्ट्रोनिक मिडिया एक प्रासंगिक र एक खुला स्रोत हो,1
एक प्रासंगिक,1
एक खुला स्रोत हो,1
अती सुन्दर प्रयास,1
अती सुन्दर,1
सुन्दर प्रयास,1
रक्सी  पिएर बाटोमा सुत्दा नि महिलो नलाग्ने भयो अब रक्सी  पिउन सुरु गरुन्छ,1
रक्सी  पिएर बाटोमा सुत्दा नि महिलो नलाग्ने भयो,0
बाटोमा सुत्दा,0
अब रक्सी  पिउन सुरु गरुन्छ,0
बाटोमा सुत्दा नि महिलो नलाग्ने,1
सुरु गरुन्छ,1
सडक मा भन्दा पहिले नेताको दिमाख मा ब्रुमर लगाएर सफा गरिदिए देश चाडै बिकास हुन्थ्यो कि,1
सडक मा भन्दा पहिले,0
देश चाडै बिकास हुन्थ्यो,1
चाडै बिकास,1
नेताको दिमाख मा ब्रुमर लगाएर सफा गरिदिए,0
सफा गरिदिए,1
पहिला खाल्डाखुल्डी टाल्न भन रुटिने तेस्ता बुमरबाट होइन हेलिपम्प बाट सफा गरौला,1
पहिला खाल्डाखुल्डी टाल्न भन,1
बुमरबाट होइन हेलिपम्प बाट सफा गरौला,1
भन रुटिने,1
सफा गरौला,1
अनि वाहा भनौला,1
वाहा भनौला,1
पहिला सबै तिर राम्रो सँग पिच गरेर त्यसपछी सफा गर्न थाले हुन्छ,1
पहिला सबै तिर राम्रो सँग पिच गरेर,1
सफा गर्न थाले हुन्छ,1
पहिला सिहदरबार सफा गर्नु पर्छ  अनि उपत्यका मात्र हैन देश नै सफा हुन्छ,1
पहिला सिहदरबार सफा गर्नु पर्छ,1
उपत्यका मात्र हैन देश नै सफा हुन्छ,1
देश नै सफा हुन्छ,1
धन्यवाद तपाईहरु सबैलाई सामन उपलव्ध भएको छ,1
धन्यवाद तपाईहरु सबैलाई,1
सामन उपलव्ध भएको छ,0
सबैलाई सामन उपलव्ध भएको छ,0
मनपरि नबोलौँ भन्छु साला यस्तै पोष्ट देखेपछि दिमाग तातिन्छ,1
मनपरि नबोलौँ भन्छु,1
यस्तै पोष्ट देखेपछि दिमाग तातिन्छ,0
साला,0
दिमाग तातिन्छ,0
त्यसैले अामा-बुबालाई वृद्ध अाश्रम हाेईन घरमै अाफ्नाे साथमा राख्ने गर,1
अाफ्नाे साथमा राख्ने गर,0
जन्म दीनको लाखौ करोडौ सुभकामना,1
लाखौ करोडौ,0
सुभकामना,1
प्यारे सधै हासिखुसी रहनु,1
प्यारे,1
सधै हासिखुसी रहनु,1
अनाधिक्रित पार्किग नियंत्रण सवारी कसैको जन-जीवन उजाडी,1
अनाधिक्रित पार्किग,0
कसैको जन-जीवन उजाडी,1
फुटपाथ मा कपडा बेच्ने लाई जरिवाना तोकिन्छ यहाँ कलिला नानिका कपडा च्यात्ने हरु खुलेयाम घुमी रहेका छन,1
फुटपाथ मा कपडा बेच्ने लाई जरिवाना तोकिन्छ,1
यहाँ कलिला नानिका कपडा च्यात्ने हरु खुलेयाम घुमी रहेका छन,0
खुलेयाम घुमी रहेका छन,0
जरिवाना तोकिन्छ,1
त्यो कुनै चटपटे पसल मात्र हैन त्यो कसैको परिवारको खुसी किन्ने सपना पनि हो ,1
त्यो कुनै चटपटे पसल मात्र हैन,0
कसैको परिवारको खुसी किन्ने सपना पनि हो,1
सपना पनि हो,1
chaitra 16 saturday,1
chaitra 16,0
saturday,0
बोलेर भन्दा गरेर पो देखाउनु पर्छ र होईन भने येस्तो गर्नुपर्छ उस्तो गर्नुपर्छ यो गरे राम्रो त्यो गरे राम्रो भन्न त जो पनि सक्छ तर ब्यवहार मा लागू हुदैन,1
बोलेर भन्दा गरेर पो देखाउनु पर्छ,1
उस्तो गर्नुपर्छ यो गरे राम्रो त्यो गरे राम्रो भन्न त जो पनि सक्छ,1
भन्न त जो पनि सक्छ,0
यो गरे राम्रो त्यो गरे राम्रो,0
गरेर पो देखाउनु पर्छ,1
ब्यवहार मा लागू हुदैन,0
म पनि त्यही बिचमा छु,0
त्यही बिचमा,0
बिचमा छु,0
म पनि यहि छु भेट्ने महानुभाबलाइ उचित पुरस्कारको ब्यबस्था छ,1
म पनि यहि छु,0
 भेट्ने महानुभाबलाइ उचित पुरस्कारको ब्यबस्था छ,1
पुरस्कारको ब्यबस्था छ,1
हिजो taxi driver ले गल्ती गर्यो बिरामी लाई सडकमा अलपत्र छोडेर!,1
हिजो taxi driver ले गल्ती गर्यो,0
बिरामी लाई सडकमा अलपत्र छोडेर,0
बिरामी सडकमा अलपत्र,0
यहाँ दोष नेता को भन्दा हामी जनता को बढी छ,1
यहाँ दोष नेता को,0
हामी जनता को बढी छ,0
बढी छ,0
हाम्रै सुरक्षा र भलोको निम्ति सपथ खाएकाहरु अनि हामी जनताकै रगत र पसिना बाट उठेको करबाट पालिने हरु ले किन यति विधि हेप्नु पर्या नीति नियम अनि कानुन निमुखाहरु को लागि मात्र हो,1
हामी जनताकै रगत र पसिना बाट उठेको करबाट पालिने हरु,0
हाम्रै सुरक्षा र भलोको निम्ति सपथ खाएकाहरु,1
कानुन निमुखाहरुको लागि मात्र हो ?,1
निमुखाहरु,0
सुरक्षा र भलोको निम्ति,1
शक्तिको आडमा अपराध गर्ने परम्परा को अन्त कहिले निर्दोष आफ्नो लेन मा हिडिरहेका मानिस लाई ठक्कर दिने यी अपराधी प्रहरी हुन  यिनलाई सजाय के  यससम्बन्ध मा सरकारी प्रतिक्रिया के र सजाय कार्यनयन हुन्छ कि हुन्न खबरदारी गरियोस,1
शक्तिको आडमा अपराध गर्ने परम्परा को अन्त कहिले निर्दोष आफ्नो लेन मा हिडिरहेका मानिस लाई ठक्कर दिने यी अपराधी प्रहरी हुन  यिनलाई सजाय के ?,1
शक्तिको आडमा अपराध गर्ने परम्परा,1
आफ्नो लेन मा हिडिरहेका मानिस लाई ठक्कर दिने ?,1
यी अपराधी प्रहरी हुन,0
यिनलाई सजाय के ?,1
यससम्बन्ध मा सरकारी प्रतिक्रिया के ?,1
सजाय कार्यनयन हुन्छ कि हुन्न,0
यससम्बन्ध मा सरकारी प्रतिक्रिया के र सजाय कार्यनयन हुन्छ कि हुन्न ?,0
खबरदारी गरियोस,1
मुल्य अन्त बजारको भन्दा फरक छैन,1
अन्त बजारको,0
बजारको भन्दा फरक छैन,1
फरक छैन,1
सामानको चित्त बुझ्दो मूल्य छ,1
चित्त बुझ्दो मूल्य छ,1
मूल्य छ,0
सम्बन्धित लाई कारबाही भयको भिडियो पनि छिट्टै हेर्न पाइयोस,1
कारबाही भयको भिडियो पनि छिट्टै हेर्न पाइयोस,0
छिट्टै हेर्न पाइयोस,1
कारबाही भयको,0
गाडीको पछाडी बसेकाहरुको झन ठूलो गल्ती छ देखेर नि न देख्या जस्तो गर्याछन,1
गाडीको पछाडी बसेकाहरु को झन ठूलो गल्ती छ,1
पछाडी बसेकाहरु,0
ठूलो गल्ती छ,0
देख्या जस्तो गर्याछन,0
राम्रो महसुस भयो कुनै पनि क्षेत्रहरूमा कुनै पिचिंग छैन राम्रो पैसामा पाए हजुर पनि आफुलाइ एक जोडा किन्नुहोस्,1
राम्रो महसुस भयो,1
कुनै पनि क्षेत्रहरूमा कुनै पिचिंग छैन,1
राम्रो पैसामा पाए हजुर पनि आफुलाइ एक जोडा किन्नुहोस्,1
आफुलाइ एक जोडा किन्नुहोस्,0
एक जोडा,1
उत्कृष्ट शैली धेरै सहज उत्कृष्ट मूल्य म आफ्नो नौसेना ग्रे सूट संग यो लुगा लगाउदा धेरै प्रशंसा प्राप्त गर्दछु,1
उत्कृष्ट शैली,1
धेरै सहज,1
उत्कृष्ट मूल्य,1
म आफ्नो नौसेना ग्रे सूट संग यो लुगा लगाउदा धेरै प्रशंसा प्राप्त गर्दछु,1
प्रशंसा प्राप्त गर्दछु,1
ो लुगा लगाउदा,1
खुसी लाग्यो छोरा,1
खुसी लाग्यो,1
हार्दिक आभार एक युवाको कदमलाइ हज्जारौं युवाहरुले साथ दिदा,1
हार्दिक आभार र धन्यवाद,1
युवाहरुले साथ दिदा,1
एक युवाको कदमलाइ हज्जारौं युवाहरुले साथ दिदा,1
धन्यवाद बाजुरेलिमन र धन्यवाद साथ दिने सबैलाइ साथै सहयोग सुझावको लागि,1
धन्यवाद बाजुरेलिमन,1
साथ दिने सबैलाइ साथै सहयोग सुझावको लागि,1
सुझावको लागि,0
अति उत्तम कार्य  के पि भाइ,1
अति उत्तम कार्य,1
के पि भाइ,0
देश आफै बन्छ सुरुवात आफुबाट सुरु गरौ,1
देश आफै बन्छ,1
सुरुवात आफुबाट सुरु गरौ,1
सुरु गरौ,0
बिदेश मा फोहोर पनि भेटीनु पर्यो नि खैरे हरु ले Trash challenge हान्न  भाग्यमानी हुन आफ्नो देश मा गर्न न पाएको काम नेपाल मा आएर गर्न पाएको छन,1
बिदेश मा फोहोर पनि भेटीनु पर्यो नि,0
फोहोर पनि भेटीनु पर्यो नि,1
Trash challenge हान्न,0
भाग्यमानी हुन,1
आफ्नो देश मा गर्न न पाएको काम नेपाल मा आएर गर्न पाएको छन,1
नेपाल मा आएर गर्न पाएको छन,0
गर्न पाएको छन,1
बिदेशी साईली,0
नेपाली मिडिया मन पर्यो,1
बृद्दा भत्ता दिएर आश्रम पठाईदिने ब्यबस्था गरौ,1
बृद्दा भत्ता,1
आश्रम पठाईदिने ब्यबस्था गरौ,1
ब्यबस्था गरौ,1
ठिक गर्यो,1
बिहे गरेपछि बुढीलाई यति माया गर्छु कि त्यो देखेर ससुराले पनि ज्वाई कान्छि छोरी नि हजुर नै लौजानुस भनोस् ,1
बिहे गरेपछि बुढीलाई यति माया गर्छु,1
त्यो देखेर ससुराले पनि ज्वाई कान्छि छोरी नि हजुर नै लौजानुस भनोस्,1
छोरी नि हजुर नै लौजानुस भनोस्,0
कान्छि छोरी,1
रुटिने होस गर तेरो पोस्टमा पनि कमेन्ट तिनिहरु कै troll गर्दै आउने गर्छ पर्लास फन्दामा त पनि अनि आफै बन्द होलास,1
रुटिने होस गर,0
ुटिने होस गर तेरो पोस्टमा पनि कमेन्ट तिनिहरु कै troll गर्दै आउने गर्छ,0
तेरो पोस्टमा पनि कमेन्ट तिनिहरु कै troll गर्दै आउने गर्छ,0
पर्लास फन्दामा,0
त पनि अनि आफै बन्द होलास,0
नराम्रो  हर्कत गर्ने सबैलाइ समात्नै पर्छ,1
नराम्रो  हर्कत गर्ने,0
सबैलाइ समात्नै पर्छ,0
देश बिगार्नेलाई खुल्ला छोड्ने तर फोटा बिगार्नेलाई सजाए रे,1
देश बिगार्नेलाई खुल्ला छोड्ने ?,1
तर फोटा बिगार्नेलाई सजाए रे,0
बिगार्नेलाई सजाए,1
खुल्ला छोड्ने,1
खुशीको खबर,1
खबर,1
टाउकोलाई समाते पो केही हुन्थ्यो  हाँगाबिगाहरु समातेर आफ्नो काम देखाउने काम बन्द गर्दा नै राम्रो,1
टाउकोलाई समाते पो केही हुन्थ्यो,0
समाते पो केही हुन्थ्यो,1
हाँगाबिगाहरु समातेर आफ्नो काम देखाउने,1
काम बन्द गर्दा नै राम्रो,1
सलाम साह साब,1
सलाम,1
साह साब,0
एस्तो राम्रो काम हुदै जाओस,1
एस्तो राम्रो काम,1
काम हुदै जाओस,0
राम्रो काम हुदै जाओस,1
बल्ल राजनीति पार्टी हरुको आँखा खुल्दैछ,1
आँखा खुल्दैछ,0
पार्टी हरुको आँखा खुल्दैछ,1
राजनीति पार्टी हरुको,0
म भोलि कलेजमा खाजा खाने पैसा दिन्छु,1
म भोलि,0
खाजा खाने पैसा दिन्छु,1
पैसा दिन्छु,0
आफुले सकेको सहयोग गरौ,1
सकेको सहयोग गरौ,1
सहयोग गरौ,1
राष्ट्रपति र प्रधानमन्त्रीको फोटो बिगारेर पोष्ट गर्ने पक्राउ,1
फोटो बिगारेर पोष्ट गर्ने पक्राउ,1
राष्ट्रपति र प्रधानमन्त्रीको फोटो,1
राष्ट्रपति,0
प्रधानमन्त्रीको फोटो बिगारेर पोष्ट गर्ने पक्राउ,1
वेईज्जत नगरेको भए हुने हो,1
नगरेको भए हुने हो,1
वेईज्जत,0
फोटो झाक़ासको छ,1
झाक़ासको छ,1
नराम्रो काम गर्न अगाडी नसरौ,1
नराम्रो काम,0
अगाडी नसरौ,0
काम गर्न अगाडी नसरौ,0
इनि दाजु चाइ साचै निश्च्ल मनका रहिछ्न,1
इनि दाजु,0
साचै निश्च्ल मनका रहिछ्न,1
मनका रहिछ्न,1
सुसासनयुक्त अनि मर्यादित बनाउनु,1
सुसासनयुक्त,1
मर्यादित,1
मर्यादित बनाउनु,1
गरिमामय र निस्पक्ष,1
गरिमामय,1
निस्पक्ष,1
स्पष्ट निती निर्माण गर्नु पर्दछ,1
"योग्यता, क्षमता, इमानदार, सक्षम, निडर, बरिष्ट",1
योग्यता,0
इमानदार,1
सक्षम,1
निडर,1
बरिष्ट,1
"इमानदार, सक्षम",1
"निडर, बरिष्ट",1
सेनालाई जिम्मेवारी तथा साथ दिनु एकदमै सराहनीय कुरा हो,1
सेनालाई जिम्मेवारी तथा साथ दिनु,1
एकदमै सराहनीय कुरा हो,1
सराहनीय कुरा,1
जिम्मेवारी तथा साथ,1
राम्रो कुरा हो सेनालाई यो मात्र होइन राष्ट्रका हरेक अायोजनाका काम दिदा उत्तम हुन्छ,1
राम्रो कुरा हो,1
सेनालाई यो मात्र होइन राष्ट्रका हरेक अायोजनाका काम दिदा उत्तम हुन्छ,1
उत्तम हुन्छ,1
अायोजनाका काम दिदा उत्तम हुन्छ,1
हरेक अायोजनाका काम,0
समाज सेवी हातहरुलाई लाखौ लाख सलाम छ,1
समाज सेवी,1
लाखौ लाख सलाम छ,1
समाज सेवी हातहरु,1
घाईते सम्पुर्णमा शिघ्र स्वास्थ लाभ को कामना,1
शिघ्र स्वास्थ लाभ,0
लाभ को कामना,1
घाईते,0
सार्है दुख लाग्यो मृतकहरु को आत्माले चिर शान्ति पावोस् साथै घाइते भएकाहरुका लागि स्वास्थ्य लाभ कामना तथा सोकाकुल परिवार प्रति समवेदना प्रकट गर्दछौं,1
सार्है दुख लाग्यो,0
मृतकहरु को आत्माले चिर शान्ति पावोस्,1
सोकाकुल परिवार प्रति समवेदना प्रकट गर्दछौं,1
मवेदना प्रकट गर्दछौं,1
मृतकहरु को आत्माले चिर शान्ति पावोस्,1
हार्दिक श्रद्धाञ्जली,1
श्रद्धाञ्जली,1
हार्दिक,0
मान्छे सानो सानो कुरामा खुशी हुन हाँस्न जान्नु पर्छ रे,1
सानो सानो कुरामा,0
खुशी हुन हाँस्न जान्नु पर्छ रे,1
हाँस्न जान्नु,0
सानो सानो,1
नराम्रो कमेन्ट गर्न हुन्न पाप लाग्छ,1
पाप लाग्छ,0
नराम्रो कमेन्ट गर्न हुन्न,1
फोटो हाल्दा अलि इडिट गरेर हाल,0
अलि इडिट गरेर हाल,0
आफ्ना प्रोडक्टहरु धेरैभन्दा धेरै बिक्रि होस् भन्ने चाहन्छन् जुन आफैमा नराम्रो कुरा हैन,1
आफ्ना प्रोडक्टहरु धेरैभन्दा धेरै बिक्रि होस्,1
धेरैभन्दा धेरै बिक्रि होस्,1
धेरै बिक्रि होस् भन्ने चाहन्छन्,1
जुन आफैमा नराम्रो कुरा हैन,1
नराम्रो कुरा,0
हेरेको थिए तर बिस्वस नलागेर तपाईंको पोस्ट हेरेको हो रहेछ,1
हेरेको थिए,0
बिस्वस नलागेर तपाईंको पोस्ट हेरेको,0
बिस्वस नलागेर,0
तपाईंको पोस्ट हेरेको,0
हो रहेछ,0
देशका सबै युवा उठौ लागौ देश को मन सफाइमा,1
देशका सबै युवा उठौ,1
देश को मन सफाइमा,1
युवा उठौ लागौ देश को मन सफाइमा,1
मन सफाइमा,1
स्केच त राम्रै हो कपालमा कसले इरेजर लगाइदिएछ पछि,1
स्केच त राम्रै हो,0
कपालमा कसले इरेजर लगाइदिएछ पछि,0
इरेजर लगाइदिएछ पछि,1
जन्मदिनको सुभकामना आलु अर्जुन,1
जन्मदिनको सुभकामना आलु,0
जन्मदिनको सुभकामना,1
timi sarai ramro,1
sarai ramro,1
खसी बिना दसै कसरी आउछ् ?,0
दसै कसरी आउछ् ?,0
मेकअप त भ्रम मात्रै हो,1
भ्रम मात्रै हो,0
असली मायामा कचेरा पुछ्दै भिडियोकल गरिन्छ,0
भिडियोकल गरिन्छ,1
कचेरा पुछ्दै,1
नेपाललाई लिएर जज लाई गाली गर्नु मुर्खता हो,1
जज लाई गाली गर्नु मुर्खता हो,0
मुर्खता हो,1
नेपाललाई लिएर जज लाई गाली गर्नु,0
